"county","Variable","col","Value"
"Marshall","Citizen","Born Abroad",0.00559720139930035
"McPherson","Citizen","Born Abroad",0.00505948311226583
"Meade","Citizen","Born Abroad",0.00752908966461328
"Miami","Citizen","Born Abroad",0.00247797356828194
"Mitchell","Citizen","Born Abroad",0.00270012706480305
"Montgomery","Citizen","Born Abroad",0.00693306810203604
"Morris","Citizen","Born Abroad",0.0172173913043478
"Morton","Citizen","Born Abroad",0
"Nemaha","Citizen","Born Abroad",0.00265774190373068
"Neosho","Citizen","Born Abroad",0.00286184010229556
"Ness","Citizen","Born Abroad",0.00129996750081248
"Norton","Citizen","Born Abroad",0.00322003577817531
"Osage","Citizen","Born Abroad",0.00385572139303483
"Osborne","Citizen","Born Abroad",0.00528820729772607
"Ottawa","Citizen","Born Abroad",0.0064484126984127
"Pawnee","Citizen","Born Abroad",0.000434090580234409
"Phillips","Citizen","Born Abroad",0.0050899836393383
"Pottawatomie","Citizen","Born Abroad",0.00813259668508287
"Pratt","Citizen","Born Abroad",0.00657151658281138
"Rawlins","Citizen","Born Abroad",0.00196463654223969
"Reno","Citizen","Born Abroad",0.0047769209154204
"Republic","Citizen","Born Abroad",0.00374531835205993
"Rice","Citizen","Born Abroad",0.00938685839824246
"Riley","Citizen","Born Abroad",0.0186345338700648
"Rooks","Citizen","Born Abroad",0.0021210952564597
"Rush","Citizen","Born Abroad",0.000314070351758794
"Russell","Citizen","Born Abroad",0
"Saline","Citizen","Born Abroad",0.00816363147035077
"Scott","Citizen","Born Abroad",0.00223214285714286
"Sedgwick","Citizen","Born Abroad",0.0080252068489662
"Seward","Citizen","Born Abroad",0.00708945604537252
"Shawnee","Citizen","Born Abroad",0.00547563649380285
"Sheridan","Citizen","Born Abroad",0.00197550375345713
"Sherman","Citizen","Born Abroad",0.000330360092500826
"Smith","Citizen","Born Abroad",0.00748663101604278
"Stafford","Citizen","Born Abroad",0.000231481481481481
"Stanton","Citizen","Born Abroad",0.00232666356444858
"Stevens","Citizen","Born Abroad",0.00537075537075537
"Sumner","Citizen","Born Abroad",0.00427278111515357
"Thomas","Citizen","Born Abroad",0.00252365930599369
"Trego","Citizen","Born Abroad",0.00542189088444595
"Wabaunsee","Citizen","Born Abroad",0.00528798056309847
"Wallace","Citizen","Born Abroad",0.000626959247648903
"Washington","Citizen","Born Abroad",0.00773830460780865
"Wichita","Citizen","Born Abroad",0.000907441016333938
"Wilson","Citizen","Born Abroad",0.00297980355369165
"Woodson","Citizen","Born Abroad",0.000934288383681096
"Wyandotte","Citizen","Born Abroad",0.00491897068517344
"Allen","Citizen","Naturalized",0.00527482608363275
"Anderson","Citizen","Naturalized",0.0031661600810537
"Atchison","Citizen","Naturalized",0.00649311609451091
"Barber","Citizen","Naturalized",0.00691823899371069
"Barton","Citizen","Naturalized",0.00948939742326362
"Bourbon","Citizen","Naturalized",0.0111396165271402
"Brown","Citizen","Naturalized",0.00647773279352227
"Butler","Citizen","Naturalized",0.0147219028021546
"Chase","Citizen","Naturalized",0.00477590007347539
"Chautauqua","Citizen","Naturalized",0.003125
"Cherokee","Citizen","Naturalized",0.0065864833906071
"Cheyenne","Citizen","Naturalized",0.00671140939597315
"Clark","Citizen","Naturalized",0.0163170163170163
"Clay","Citizen","Naturalized",0.00629378933618335
"Cloud","Citizen","Naturalized",0.014776742691937
"Coffey","Citizen","Naturalized",0.00378340033104753
"Comanche","Citizen","Naturalized",0.00199004975124378
"Cowley","Citizen","Naturalized",0.0150503062723468
"Crawford","Citizen","Naturalized",0.0101007531040098
"Decatur","Citizen","Naturalized",0.00516351118760757
"Dickinson","Citizen","Naturalized",0.0100942816150851
"Doniphan","Citizen","Naturalized",0.00139966916910548
"Douglas","Citizen","Naturalized",0.0200840241112667
"Edwards","Citizen","Naturalized",0.0344366432631227
"Elk","Citizen","Naturalized",0.0156541185240403
"Ellis","Citizen","Naturalized",0.0161073362535784
"Ellsworth","Citizen","Naturalized",0.00280811232449298
"Finney","Citizen","Naturalized",0.0691837449169203
"Ford","Citizen","Naturalized",0.0640375640951777
"Franklin","Citizen","Naturalized",0.00446549916514581
"Geary","Citizen","Naturalized",0.0404490716829315
"Gove","Citizen","Naturalized",0.00255941499085923
"Graham","Citizen","Naturalized",0.000771307365985345
"Grant","Citizen","Naturalized",0.0145854657113613
"Gray","Citizen","Naturalized",0.0319868095630668
"Greeley","Citizen","Naturalized",0.0277777777777778
"Greenwood","Citizen","Naturalized",0.000938526513374003
"Hamilton","Citizen","Naturalized",0.0216550657385924
"Harper","Citizen","Naturalized",0.00341238696468179
"Harvey","Citizen","Naturalized",0.0159896655662408
"Haskell","Citizen","Naturalized",0.051089588377724
"Hodgeman","Citizen","Naturalized",0.0113460546673543
"Jackson","Citizen","Naturalized",0.00388059701492537
"Jefferson","Citizen","Naturalized",0.00269869827494973
"Jewell","Citizen","Naturalized",0.00625411454904542
"Johnson","Citizen","Naturalized",0.0357189483675421
"Kearny","Citizen","Naturalized",0.0374493927125506
"Kingman","Citizen","Naturalized",0.00154043645699615
"Kiowa","Citizen","Naturalized",0.0110410094637224
"Labette","Citizen","Naturalized",0.00247054351957431
"Lane","Citizen","Naturalized",0.00657108721624851
"Leavenworth","Citizen","Naturalized",0.0151610057908395
"Lincoln","Citizen","Naturalized",0.00602409638554217
"Linn","Citizen","Naturalized",0.00251889168765743
"Logan","Citizen","Naturalized",0.00966702470461869
"Lyon","Citizen","Naturalized",0.0271651425497579
"Marion","Citizen","Naturalized",0.00724165988608625
"Marshall","Citizen","Naturalized",0.00529735132433783
"McPherson","Citizen","Naturalized",0.00611923971010529
"Meade","Citizen","Naturalized",0.026009582477755
"Miami","Citizen","Naturalized",0.00578193832599119
"Mitchell","Citizen","Naturalized",0.00603557814485388
"Montgomery","Citizen","Naturalized",0.00857126140884624
"Morris","Citizen","Naturalized",0.00278260869565217
"Morton","Citizen","Naturalized",0.0260785576303928
"Nemaha","Citizen","Naturalized",0.0057092233487548
"Neosho","Citizen","Naturalized",0.00602813127930342
"Ness","Citizen","Naturalized",0.00552486187845304
"Norton","Citizen","Naturalized",0.00161001788908766
"Osage","Citizen","Naturalized",0.00230099502487562
"Osborne","Citizen","Naturalized",0.00502379693283977
"Ottawa","Citizen","Naturalized",0.0085978835978836
"Pawnee","Citizen","Naturalized",0.014903776588048
"Phillips","Citizen","Naturalized",0.00327213233957462
"Pottawatomie","Citizen","Naturalized",0.00950276243093923
"Pratt","Citizen","Naturalized",0.00174555909230927
"Rawlins","Citizen","Naturalized",0.00275049115913556
"Reno","Citizen","Naturalized",0.00683755346717038
"Republic","Citizen","Naturalized",0.00249687890137328
"Rice","Citizen","Naturalized",0.00928699820251648
"Riley","Citizen","Naturalized",0.0220735250993042
"Rooks","Citizen","Naturalized",0.0111839568067875
"Rush","Citizen","Naturalized",0.00879396984924623
"Russell","Citizen","Naturalized",0.000572409845449342
"Saline","Citizen","Naturalized",0.0247779671660536
"Scott","Citizen","Naturalized",0.0231331168831169
"Sedgwick","Citizen","Naturalized",0.0380136181738854
"Seward","Citizen","Naturalized",0.0804331013147719
"Shawnee","Citizen","Naturalized",0.0162255581905231
"Sheridan","Citizen","Naturalized",0.00513630975898854
"Sherman","Citizen","Naturalized",0.00545094152626363
"Smith","Citizen","Naturalized",0.0018716577540107
"Stafford","Citizen","Naturalized",0.0238425925925926
"Stanton","Citizen","Naturalized",0.0269892973476035
"Stevens","Citizen","Naturalized",0.0284130284130284
"Sumner","Citizen","Naturalized",0.00338438108130976
"Thomas","Citizen","Naturalized",0.00794952681388013
"Trego","Citizen","Naturalized",0.00643849542527957
"Wabaunsee","Citizen","Naturalized",0.0012862655423753
"Wallace","Citizen","Naturalized",0.00626959247648903
"Washington","Citizen","Naturalized",0.00545198733731973
"Wichita","Citizen","Naturalized",0.0163339382940109
"Wilson","Citizen","Naturalized",0.00794614280984439
"Woodson","Citizen","Naturalized",0.000622858922454064
