race,party,candidate,votes,proportion,election,year
Kansas House of Representatives 063,R,John R. Eplee,2564,1,Primary,2016
Kansas Senate 011,R,John Skubal,25992,0.65,General,2016
Kansas Senate 011,R,John Skubal,5665,0.565,Primary,2016
Kansas House of Representatives 019,L,John Taube,806,0.058,General,2016
Kansas House of Representatives 093,R,John Whitmer,5958,0.624,General,2016
Kansas House of Representatives 093,R,John Whitmer,1327,1,Primary,2016
Kansas House of Representatives 010,D,John Wilson,8466,1,General,2016
Kansas House of Representatives 010,D,John Wilson,1069,1,Primary,2016
Kansas House of Representatives 116,D,Jolene E. Roitman,3744,0.402,General,2016
Kansas House of Representatives 116,D,Jolene E. Roitman,536,1,Primary,2016
Kansas House of Representatives 113,R,Jon L. Prescott,1215,0.257,Primary,2016
Kansas House of Representatives 088,R,Joseph Scapa,3077,0.438,General,2016
Kansas House of Representatives 088,R,Joseph Scapa,707,1,Primary,2016
Kansas House of Representatives 028,R,Joy Koesten,10358,1,General,2016
Kansas House of Representatives 028,R,Joy Koesten,1591,0.542,Primary,2016
Kansas Senate 038,R,Joyce Warshaw,2438,0.352,Primary,2016
Kansas Senate 009,R,Julia Lynn,20574,0.6,General,2016
Kansas Senate 009,R,Julia Lynn,5272,1,Primary,2016
Kansas House of Representatives 098,D,Justin Kraemer,243,0.474,Primary,2016
Kansas House of Representatives 042,D,Kara Reed,4163,0.421,General,2016
Kansas House of Representatives 042,D,Kara Reed,592,1,Primary,2016
Kansas House of Representatives 080,O,Kasha Kelley,535,0.072,General,2016
Kansas House of Representatives 080,R,Kasha Kelley,1164,0.472,Primary,2016
Kansas House of Representatives 064,R,Kathy Martin,1136,0.422,Primary,2016
Kansas House of Representatives 036,D,Kathy Wolfe Moore,7481,0.673,General,2016
Kansas House of Representatives 036,D,Kathy Wolfe Moore,2537,0.764,Primary,2016
Kansas House of Representatives 089,D,K.C. Ohaebosim,5693,1,General,2016
Kansas House of Representatives 089,D,K.C. Ohaebosim,698,1,Primary,2016
Kansas House of Representatives 014,R,Keith Esau,7291,0.579,General,2016
Kansas House of Representatives 014,R,Keith Esau,1375,0.548,Primary,2016
Kansas Senate 028,D,Keith Humphrey,9353,0.485,General,2016
Kansas Senate 028,D,Keith Humphrey,1061,1,Primary,2016
Kansas House of Representatives 108,D,Kelley Menke,3145,0.319,General,2016
Kansas House of Representatives 108,D,Kelley Menke,664,1,Primary,2016
Kansas House of Representatives 076,D,Kelly Atherton,397,0.499,Primary,2016
Kansas House of Representatives 054,R,Ken Corbet,5904,0.537,General,2016
Kansas House of Representatives 054,R,Ken Corbet,2300,1,Primary,2016
Kansas House of Representatives 110,R,Ken Rahjes,8886,1,General,2016
Kansas House of Representatives 110,R,Ken Rahjes,4272,1,Primary,2016
Kansas House of Representatives 009,R,Kent L. Thompson,6321,0.758,General,2016
Kansas House of Representatives 009,R,Kent L. Thompson,2361,1,Primary,2016
United States House of Representatives 001,L,Kerry Burt,19366,0.075,General,2016
Kansas House of Representatives 036,R,Kevin Braun,3623,0.326,General,2016
Kansas House of Representatives 036,R,Kevin Braun,899,1,Primary,2016
Kansas House of Representatives 005,R,Kevin Jones,5423,0.591,General,2016
Kansas House of Representatives 005,R,Kevin Jones,1281,1,Primary,2016
Kansas Senate 037,D,Kevin King,11709,0.319,General,2016
Kansas Senate 037,D,Kevin King,1494,1,Primary,2016
United States House of Representatives 003,R,Kevin Yoder,176022,0.513,General,2016
United States House of Representatives 003,R,Kevin Yoder,37681,0.636,Primary,2016
Kansas House of Representatives 015,R,Kim Palcic,395,0.265,Primary,2016
Kansas House of Representatives 035,D,Kimberly L. Lampkin,787,0.384,Primary,2016
Kansas House of Representatives 077,R,Kristey S. Williams,8303,1,General,2016
Kansas House of Representatives 077,R,Kristey S. Williams,2459,1,Primary,2016
Kansas House of Representatives 116,R,Kyle D. Hoffman,5549,0.597,General,2016
Kansas House of Representatives 116,R,Kyle D. Hoffman,2763,1,Primary,2016
Kansas House of Representatives 056,R,Lane Hemsley,4758,0.48,General,2016
Kansas House of Representatives 056,R,Lane Hemsley,1757,0.682,Primary,2016
Kansas House of Representatives 027,D,Larry A. Miller,4294,0.306,General,2016
Kansas House of Representatives 027,D,Larry A. Miller,552,1,Primary,2016
Kansas Senate 033,R,Larry D. Salmans,6816,0.481,Primary,2016
Kansas House of Representatives 056,R,Larry Geil,818,0.317,Primary,2016
Kansas House of Representatives 026,R,Larry L. Campbell,8059,0.672,General,2016
Kansas House of Representatives 026,R,Larry L. Campbell,1574,1,Primary,2016
Kansas House of Representatives 013,R,Larry P. Hibbard,8202,1,General,2016
Kansas House of Representatives 013,R,Larry P. Hibbard,3536,0.758,Primary,2016
Kansas Senate 039,R,Larry R. Powell,4246,0.428,Primary,2016
Kansas Senate 032,R,Larry W. Alley,16221,0.622,General,2016
Kansas Senate 032,R,Larry W. Alley,6795,1,Primary,2016
Kansas House of Representatives 068,D,Laura Blevins,2328,0.291,General,2016
Kansas House of Representatives 068,D,Laura Blevins,498,1,Primary,2016
Kansas Senate 018,D,Laura Kelly,15007,0.516,General,2016
Kansas Senate 018,D,Laura Kelly,3351,1,Primary,2016
Kansas House of Representatives 061,D,Lauren Van Wagoner,3904,0.385,General,2016
Kansas House of Representatives 061,D,Lauren Van Wagoner,549,1,Primary,2016
Kansas House of Representatives 014,R,Leesa Gabel,1133,0.451,Primary,2016
Kansas House of Representatives 094,R,Leo Delperdang,6577,0.602,General,2016
Kansas House of Representatives 094,R,Leo Delperdang,1277,0.528,Primary,2016
Kansas House of Representatives 117,R,Leonard A. Mastroni,8288,1,General,2016
Kansas House of Representatives 117,R,Leonard A. Mastroni,4001,1,Primary,2016
Kansas House of Representatives 073,R,Les Mason,6818,0.696,General,2016
Kansas House of Representatives 073,R,Les Mason,3680,1,Primary,2016
Kansas House of Representatives 097,R,Leslie G. Osterman,4472,0.601,General,2016
Kansas House of Representatives 097,R,Leslie G. Osterman,729,0.613,Primary,2016
Kansas Senate 035,D,Levi Morris,8538,0.286,General,2016
Kansas Senate 035,D,Levi Morris,1576,1,Primary,2016
Kansas House of Representatives 023,R,Linda Gallagher,4843,0.544,General,2016
Kansas House of Representatives 023,R,Linda Gallagher,1449,1,Primary,2016
Kansas Senate 021,D,Logan Heley,15287,0.424,General,2016
Kansas Senate 021,D,Logan Heley,2956,0.816,Primary,2016
Kansas House of Representatives 065,R,Lonnie G. Clark,3447,1,General,2016
Kansas House of Representatives 065,R,Lonnie G. Clark,808,1,Primary,2016
Kansas Senate 027,R,Lori Graham,3987,0.493,Primary,2016
Kansas House of Representatives 090,D,Lou Cicirello,2901,0.281,General,2016
Kansas House of Representatives 090,D,Lou Cicirello,378,1,Primary,2016
Kansas House of Representatives 031,D,Louis E. Ruiz,4694,1,General,2016
Kansas House of Representatives 031,D,Louis E. Ruiz,1105,1,Primary,2016
Kansas House of Representatives 104,R,Lowell J. Peachey,1988,0.402,Primary,2016
Kansas Senate 013,D,Lynn D. Grant,12291,0.438,General,2016
Kansas Senate 013,D,Lynn D. Grant,3204,1,Primary,2016
United States House of Representatives 002,R,Lynn Jenkins,181228,0.609,General,2016
United States House of Representatives 002,R,Lynn Jenkins,54958,1,Primary,2016
President / Vice President,O,Lynn Kahn,2,0,General,2016
Kansas Senate 025,D,Lynn W. Rogers,11704,0.584,General,2016
Kansas Senate 025,D,Lynn W. Rogers,1669,1,Primary,2016
Kansas House of Representatives 083,R,M. Lewis Ackerman,2570,0.396,General,2016
Kansas House of Representatives 083,R,M. Lewis Ackerman,649,1,Primary,2016
Kansas House of Representatives 072,R,Marc Rhoades,4735,0.488,General,2016
Kansas House of Representatives 072,R,Marc Rhoades,2566,1,Primary,2016
Kansas Senate 002,D,Marci Francisco,24147,0.661,General,2016
Kansas Senate 002,D,Marci Francisco,4523,1,Primary,2016
Kansas House of Representatives 087,O,Marco Giorgi,1070,0.106,General,2016
Kansas House of Representatives 052,R,Mark Leenerts,1672,0.378,Primary,2016
Kansas Senate 014,D,Mark Pringle,7702,0.273,General,2016
Kansas Senate 014,D,Mark Pringle,1174,0.545,Primary,2016
Kansas House of Representatives 060,R,Mark Schreiber,5292,0.632,General,2016
Kansas House of Representatives 060,R,Mark Schreiber,1102,0.53,Primary,2016
President / Vice President,O,Marshall R. Schoenke,0,0,General,2016
Kansas House of Representatives 048,R,Marvin Kleeb,6621,0.583,General,2016
Kansas House of Representatives 048,R,Marvin Kleeb,1658,1,Primary,2016
Kansas Senate 033,R,Mary Jo Taylor,21114,0.765,General,2016
Kansas Senate 033,R,Mary Jo Taylor,7334,0.518,Primary,2016
Kansas House of Representatives 075,R,Mary Martha Good,7650,1,General,2016
Kansas House of Representatives 075,R,Mary Martha Good,1754,0.505,Primary,2016
Kansas Senate 010,R,Mary Pilcher-Cook,18673,0.513,General,2016
Kansas Senate 010,R,Mary Pilcher-Cook,5062,1,Primary,2016
Kansas Senate 033,D,Matt Bristow,6467,0.234,General,2016
Kansas Senate 033,D,Matt Bristow,1472,1,Primary,2016
Kansas House of Representatives 025,D,Matt McCann,5495,0.409,General,2016
Kansas House of Representatives 025,D,Matt McCann,1484,1,Primary,2016
Kansas House of Representatives 060,R,Matthew Shepherd,174,0.083,Primary,2016
Kansas Senate 007,D,Megan England,18884,0.456,General,2016
Kansas Senate 007,D,Megan England,4162,1,Primary,2016
Kansas House of Representatives 025,R,Melissa Rooker,7924,0.59,General,2016
Kansas House of Representatives 025,R,Melissa Rooker,2049,1,Primary,2016
Kansas Senate 002,R,Meredith Richey,12378,0.338,General,2016
Kansas Senate 002,R,Meredith Richey,3403,1,Primary,2016
Kansas House of Representatives 014,D,Merlin Ring,5292,0.42,General,2016
Kansas House of Representatives 014,D,Merlin Ring,848,1,Primary,2016
President / Vice President,O,Michael A. Maturen,214,0,General,2016
Kansas House of Representatives 095,R,Michael Capps,2603,0.455,General,2016
Kansas House of Representatives 095,R,Michael Capps,611,1,Primary,2016
Kansas Senate 021,D,Michael Czerniewski,663,0.183,Primary,2016
Kansas House of Representatives 047,D,Michael D. Caddell,3169,0.314,General,2016
Kansas House of Representatives 047,D,Michael D. Caddell,689,1,Primary,2016
Kansas House of Representatives 001,R,Michael Houser,7467,1,General,2016
Kansas House of Representatives 001,R,Michael Houser,1411,1,Primary,2016
Kansas Senate 021,L,Michael Kerner,2617,0.072,General,2016
Kansas House of Representatives 044,R,Michael Lindsey,2917,0.247,General,2016
Kansas House of Representatives 044,R,Michael Lindsey,838,1,Primary,2016
United States House of Representatives 004,R,Michael Pompeo,166998,0.606,General,2016
United States House of Representatives 004,R,Michael Pompeo,56808,1,Primary,2016
President / Vice President,O,Michael S. Levinson,0,0,General,2016
Kansas House of Representatives 013,R,Michael T. Countryman,1126,0.241,Primary,2016
Kansas House of Representatives 080,D,Michelle Schiltz,2146,0.29,General,2016
Kansas House of Representatives 080,D,Michelle Schiltz,624,1,Primary,2016
Kansas Senate 038,D,Miguel Angel Rodriguez,4130,0.242,General,2016
Kansas Senate 038,D,Miguel Angel Rodriguez,706,1,Primary,2016
Kansas House of Representatives 038,D,Mike Fonkert,4198,0.349,General,2016
Kansas House of Representatives 038,D,Mike Fonkert,748,1,Primary,2016
Kansas Senate 028,R,Mike Petersen,9915,0.514,General,2016
Kansas Senate 028,R,Mike Petersen,2003,0.746,Primary,2016
President / Vice President,O,Mike Smith,6,0,General,2016
United States House of Representatives 004,O,Miranda Allen,19021,0.069,General,2016
Kansas House of Representatives 038,R,Mitra Templin,1065,0.381,Primary,2016
Kansas Senate 037,R,Molly Baumgardner,24965,0.68,General,2016
Kansas Senate 037,R,Molly Baumgardner,5342,1,Primary,2016
President / Vice President,O,Monica G. Moorehead,0,0,General,2016
Kansas House of Representatives 003,D,Monica Murnan,4351,0.524,General,2016
Kansas House of Representatives 003,D,Monica Murnan,787,1,Primary,2016
United States Senate,D,Monique Singh,35042,0.37,Primary,2016
Kansas House of Representatives 022,D,Nancy Lusk,7414,1,General,2016
Kansas House of Representatives 022,D,Nancy Lusk,1069,1,Primary,2016
Kansas House of Representatives 038,R,Nathan Lucas,293,0.105,Primary,2016
Kansas Senate 030,D,Nathan Tokala,661,0.349,Primary,2016
United States House of Representatives 003,D,Nathaniel W. McLaughlin,12105,0.362,Primary,2016
Kansas House of Representatives 021,R,Neil Patrick Melton,1071,0.392,Primary,2016
Kansas House of Representatives 068,R,Nicholas Allbritton,785,0.271,Primary,2016
Kansas House of Representatives 097,R,Nick Hoheisel,459,0.386,Primary,2016
Kansas Senate 029,D,Oletha Faust-Goudeau,14511,1,General,2016
Kansas Senate 029,D,Oletha Faust-Goudeau,2156,1,Primary,2016
Kansas House of Representatives 039,R,Owen Donohoe,503,0.225,Primary,2016
Kansas House of Representatives 032,D,Pam Curtis,2521,1,General,2016
Kansas House of Representatives 032,D,Pam Curtis,613,1,Primary,2016
Kansas Senate 006,D,Pat Pettey,12640,0.708,General,2016
Kansas Senate 006,D,Pat Pettey,3270,1,Primary,2016
Kansas House of Representatives 009,L,Patrick McMurray,2011,0.241,General,2016
United States Senate,D,Patrick Wiesner,379740,0.322,General,2016
United States Senate,D,Patrick Wiesner,59522,0.629,Primary,2016
Kansas House of Representatives 102,D,Patsy Terrell,3132,0.555,General,2016
Kansas House of Representatives 102,D,Patsy Terrell,525,1,Primary,2016
Kansas House of Representatives 085,D,Patty Beamer,4426,0.385,General,2016
Kansas House of Representatives 085,D,Patty Beamer,541,1,Primary,2016
Kansas House of Representatives 008,R,Patty Markley,9493,0.727,General,2016
Kansas House of Representatives 008,R,Patty Markley,1546,0.58,Primary,2016
Kansas House of Representatives 082,R,Pete DeGraaf,6047,0.616,General,2016
Kansas House of Representatives 082,R,Pete DeGraaf,1339,1,Primary,2016
Kansas House of Representatives 103,D,Ponka-We Victors,2550,1,General,2016
Kansas House of Representatives 103,D,Ponka-We Victors,339,1,Primary,2016
Kansas House of Representatives 015,D,R. Paul McCorkle,3559,0.415,General,2016
Kansas House of Representatives 015,D,R. Paul McCorkle,617,1,Primary,2016
Kansas Senate 024,R,Randall R. Hardy,16195,0.59,General,2016
Kansas Senate 024,R,Randall R. Hardy,4307,0.463,Primary,2016
Kansas House of Representatives 062,R,Randy Garber,8441,1,General,2016
Kansas House of Representatives 062,R,Randy Garber,2526,1,Primary,2016
Kansas House of Representatives 099,R,Randy J. Banwart,1218,0.399,Primary,2016
Kansas House of Representatives 030,R,Randy Powell,5751,0.523,General,2016
Kansas House of Representatives 030,R,Randy Powell,1207,0.597,Primary,2016
United States House of Representatives 003,D,Reggie Marselus,7435,0.222,Primary,2016
Kansas House of Representatives 054,D,Renae Hansen,5088,0.462,General,2016
Kansas House of Representatives 054,D,Renae Hansen,911,1,Primary,2016
Kansas Senate 031,R,Renee Erickson,4518,0.486,Primary,2016
Kansas Senate 020,D,"Ricardo ""Rick"" Munoz Cortez",760,0.202,Primary,2016
Kansas Senate 040,R,Richard (Rick) Billinger,23964,0.742,General,2016
Kansas Senate 040,R,Richard (Rick) Billinger,12409,1,Primary,2016
Kansas House of Representatives 007,R,Richard J. Proehl,7380,1,General,2016
Kansas House of Representatives 007,R,Richard J. Proehl,1612,0.646,Primary,2016
Kansas House of Representatives 053,R,Richard Kress,4437,0.425,General,2016
Kansas House of Representatives 053,R,Richard Kress,2074,1,Primary,2016
Kansas Senate 035,R,Richard Wilborn,21271,0.713,General,2016
Kansas Senate 035,R,Richard Wilborn,10599,1,Primary,2016
Kansas House of Representatives 004,R,Rick James,1102,0.364,Primary,2016
Kansas House of Representatives 020,R,Rob Bruchman,1883,0.452,Primary,2016
Kansas House of Representatives 024,R,Rob Johnson,4095,0.396,General,2016
Kansas House of Representatives 024,R,Rob Johnson,1038,1,Primary,2016
Kansas Senate 023,R,Rob Olson,19277,0.605,General,2016
Kansas Senate 023,R,Rob Olson,4362,1,Primary,2016
United States Senate,L,Robert D. Garrard,65760,0.055,General,2016
United States House of Representatives 004,D,Robert Leon Tillman,8936,0.484,Primary,2016
President / Vice President,O,Rocky Giordani,0,0,General,2016
President / Vice President,O,Rocky Roque De La Fuente,3,0,General,2016
Kansas House of Representatives 087,R,Roger A. Elliott,5530,0.55,General,2016
Kansas House of Representatives 087,R,Roger A. Elliott,1345,0.574,Primary,2016
United States House of Representatives 001,R,Roger Marshall,169992,0.658,General,2016
United States House of Representatives 001,R,Roger Marshall,59889,0.565,Primary,2016
Kansas House of Representatives 051,R,Ron Highland,5783,0.519,General,2016
Kansas House of Representatives 051,R,Ron Highland,3406,1,Primary,2016
Kansas House of Representatives 078,R,Ron Ryckman,6857,0.61,General,2016
Kansas House of Representatives 078,R,Ron Ryckman,1334,0.727,Primary,2016
Kansas House of Representatives 047,R,Ronald B. Ellis,6904,0.685,General,2016
Kansas House of Representatives 047,R,Ronald B. Ellis,2190,1,Primary,2016
Kansas House of Representatives 050,D,Russ Hutchison,530,0.429,Primary,2016
Kansas House of Representatives 121,R,S. Mike Kiegerl,7415,0.6,General,2016
Kansas House of Representatives 121,R,S. Mike Kiegerl,1762,1,Primary,2016
Kansas House of Representatives 048,D,Sandy Ackerson,4734,0.416,General,2016
Kansas House of Representatives 048,D,Sandy Ackerson,609,1,Primary,2016
Kansas House of Representatives 094,R,Scott Anderson,1137,0.471,Primary,2016
Kansas House of Representatives 049,R,Scott Schwab,5390,0.583,General,2016
Kansas House of Representatives 049,R,Scott Schwab,1179,1,Primary,2016
Kansas House of Representatives 027,R,Sean E. Tarwater Sr.,9712,0.693,General,2016
Kansas House of Representatives 027,R,Sean E. Tarwater Sr.,1539,0.535,Primary,2016
Kansas House of Representatives 125,R,Shannon Francis,4102,1,General,2016
Kansas House of Representatives 125,R,Shannon Francis,1441,1,Primary,2016
President / Vice President,O,Shawna Sterling,1,0,General,2016
Kansas House of Representatives 039,R,Shelee Brim,7996,0.649,General,2016
Kansas House of Representatives 039,R,Shelee Brim,963,0.431,Primary,2016
Kansas Senate 011,D,Skip Fannen,13983,0.349,General,2016
Kansas Senate 011,D,Skip Fannen,2243,1,Primary,2016
Kansas Senate 023,D,Spencer Kerfoot,12551,0.394,General,2016
Kansas Senate 023,D,Spencer Kerfoot,1758,1,Primary,2016
Kansas House of Representatives 037,D,Stan Frownfelter,4421,1,General,2016
Kansas House of Representatives 037,D,Stan Frownfelter,949,1,Primary,2016
Kansas House of Representatives 097,D,Stan Reeser,2966,0.398,General,2016
Kansas House of Representatives 097,D,Stan Reeser,355,1,Primary,2016
Kansas House of Representatives 066,R,Stanley Hoerman,2669,0.342,General,2016
Kansas House of Representatives 066,R,Stanley Hoerman,842,1,Primary,2016
Kansas House of Representatives 019,R,Stephanie Clayton,8325,0.604,General,2016
Kansas House of Representatives 019,R,Stephanie Clayton,2633,1,Primary,2016
Kansas House of Representatives 098,R,Steve Anthimides,2994,0.469,General,2016
Kansas House of Representatives 098,R,Steve Anthimides,661,1,Primary,2016
Kansas Senate 005,R,Steve Fitzgerald,13336,0.509,General,2016
Kansas Senate 005,R,Steve Fitzgerald,2494,1,Primary,2016
Kansas House of Representatives 090,R,Steve Huebert,7414,0.718,General,2016
Kansas House of Representatives 090,R,Steve Huebert,1839,1,Primary,2016
Kansas House of Representatives 060,R,Steve Pearson,802,0.385,Primary,2016
United States House of Representatives 003,L,Steven A. Hohe,27791,0.08,General,2016
Kansas House of Representatives 098,D,Steven G. Crum,3379,0.53,General,2016
Kansas House of Representatives 098,D,Steven G. Crum,269,0.525,Primary,2016
Kansas House of Representatives 108,R,Steven Johnson,6691,0.68,General,2016
Kansas House of Representatives 108,R,Steven Johnson,3347,1,Primary,2016
Kansas House of Representatives 104,R,Steven R. Becker,8755,0.821,General,2016
Kansas House of Representatives 104,R,Steven R. Becker,2957,0.597,Primary,2016
Kansas House of Representatives 044,D,Steven X. Davis,301,0.173,Primary,2016
Kansas House of Representatives 111,R,Sue Ellen Boldra,4598,0.464,General,2016
Kansas House of Representatives 111,R,Sue Ellen Boldra,2106,1,Primary,2016
Kansas Senate 017,D,Susan G. Fowler,9147,0.41,General,2016
Kansas Senate 017,D,Susan G. Fowler,1592,1,Primary,2016
Kansas House of Representatives 099,R,Susan Humphries,9740,1,General,2016
Kansas House of Representatives 099,R,Susan Humphries,1834,0.6,Primary,2016
Kansas House of Representatives 094,D,Susan K. Osborne,4344,0.397,General,2016
Kansas House of Representatives 094,D,Susan K. Osborne,515,1,Primary,2016
Kansas House of Representatives 107,R,Susan L. Concannon,8951,1,General,2016
Kansas House of Representatives 107,R,Susan L. Concannon,3758,1,Primary,2016
Kansas Senate 030,R,Susan Wagle,16636,0.585,General,2016
Kansas Senate 030,R,Susan Wagle,4399,1,Primary,2016
Kansas House of Representatives 064,R,Susie Swanson,5348,1,General,2016
Kansas House of Representatives 064,R,Susie Swanson,1554,0.577,Primary,2016
Kansas House of Representatives 066,D,Sydney Carlin,5116,0.657,General,2016
Kansas House of Representatives 066,D,Sydney Carlin,533,1,Primary,2016
Kansas House of Representatives 076,D,Teresa Briggs,3395,0.363,General,2016
Kansas House of Representatives 076,D,Teresa Briggs,398,0.5,Primary,2016
Kansas House of Representatives 073,D,Terrance J. Krier,2976,0.303,General,2016
Kansas House of Representatives 073,D,Terrance J. Krier,475,1,Primary,2016
Kansas Senate 034,R,Terry Bruce,4701,0.428,Primary,2016
Kansas House of Representatives 045,D,Terry Manies,6379,0.453,General,2016
Kansas House of Representatives 045,D,Terry Manies,1265,1,Primary,2016
Kansas House of Representatives 072,D,Tim Hodge,4963,0.511,General,2016
Kansas House of Representatives 072,D,Tim Hodge,787,1,Primary,2016
United States House of Representatives 001,O,Tim Huelskamp,874,0.003,General,2016
United States House of Representatives 001,R,Tim Huelskamp,45997,0.434,Primary,2016
Kansas House of Representatives 007,R,Tim Wass Jr.,882,0.353,Primary,2016
Kansas House of Representatives 027,R,Timothy James Harmon,1336,0.464,Primary,2016
Kansas House of Representatives 106,D,Todd E. Frye,4548,0.438,General,2016
Kansas House of Representatives 106,D,Todd E. Frye,508,0.687,Primary,2016
Kansas Senate 024,R,Tom Arpke,3884,0.417,Primary,2016
Kansas House of Representatives 033,D,Tom Burroughs,6529,1,General,2016
Kansas House of Representatives 033,D,Tom Burroughs,1450,1,Primary,2016
Kansas House of Representatives 017,R,Tom Cox,6972,0.566,General,2016
Kansas House of Representatives 017,R,Tom Cox,1927,0.615,Primary,2016
Kansas Senate 022,D,Tom Hawk,20849,1,General,2016
Kansas Senate 022,D,Tom Hawk,1395,1,Primary,2016
President / Vice President,O,Tom Hoefling,45,0,General,2016
Kansas Senate 003,D,Tom Holland,17214,0.515,General,2016
Kansas Senate 003,D,Tom Holland,2685,1,Primary,2016
Kansas House of Representatives 067,R,Tom Phillips,9394,1,General,2016
Kansas House of Representatives 067,R,Tom Phillips,2599,1,Primary,2016
Kansas House of Representatives 095,D,Tom Sawyer,3108,0.544,General,2016
Kansas House of Representatives 095,D,Tom Sawyer,464,1,Primary,2016
Kansas House of Representatives 045,R,Tom Sloan,7681,0.546,General,2016
Kansas House of Representatives 045,R,Tom Sloan,1291,0.702,Primary,2016
Kansas House of Representatives 041,R,Tony Barton,2809,0.45,General,2016
Kansas House of Representatives 041,R,Tony Barton,614,1,Primary,2016
Kansas Senate 027,D,Tony Hunter,11209,0.334,General,2016
Kansas Senate 027,D,Tony Hunter,1436,1,Primary,2016
Kansas House of Representatives 087,D,Tonya Howard,3438,0.342,General,2016
Kansas House of Representatives 087,D,Tonya Howard,673,1,Primary,2016
Kansas House of Representatives 112,R,Tory M. Arnberger,7062,1,General,2016
Kansas House of Representatives 112,R,Tory M. Arnberger,2970,1,Primary,2016
Kansas House of Representatives 004,R,Trevor Jacobs,8224,1,General,2016
Kansas House of Representatives 004,R,Trevor Jacobs,1749,0.578,Primary,2016
Kansas Senate 016,R,Troy E. Tabor II,3226,0.407,Primary,2016
Kansas House of Representatives 109,R,Troy L. Waymaster,9469,1,General,2016
Kansas House of Representatives 109,R,Troy L. Waymaster,4530,1,Primary,2016
Kansas Senate 016,R,Ty Masterson,20980,0.646,General,2016
Kansas Senate 016,R,Ty Masterson,4697,0.592,Primary,2016
Kansas House of Representatives 034,D,Valdenia C. Winn,5094,1,General,2016
Kansas House of Representatives 034,D,Valdenia C. Winn,1665,1,Primary,2016
Kansas House of Representatives 068,R,Vance E. Donahue II,297,0.102,Primary,2016
Kansas House of Representatives 058,D,Vic Miller,5232,1,General,2016
Kansas House of Representatives 058,D,Vic Miller,1119,0.731,Primary,2016
Kansas Senate 010,D,Vicki Hiatt,17722,0.486,General,2016
Kansas Senate 010,D,Vicki Hiatt,2883,1,Primary,2016
Kansas Senate 020,R,Vicki L. Schmidt,22216,0.653,General,2016
Kansas Senate 020,R,Vicki L. Schmidt,5853,0.533,Primary,2016
Kansas Senate 015,R,Virgil Peck,3378,0.487,Primary,2016
Kansas House of Representatives 056,D,Virgil Weigel,5141,0.519,General,2016
Kansas House of Representatives 056,D,Virgil Weigel,1101,1,Primary,2016
Kansas House of Representatives 063,D,W. Brett Neibling,2465,0.267,General,2016
Kansas House of Representatives 063,D,W. Brett Neibling,727,1,Primary,2016
Kansas House of Representatives 075,R,Will Carpenter,1713,0.494,Primary,2016
Kansas Senate 025,R,William Eveland,890,0.318,Primary,2016
Kansas House of Representatives 060,D,William L. Ballard,3069,0.367,General,2016
Kansas House of Representatives 060,D,William L. Ballard,614,1,Primary,2016
Kansas House of Representatives 038,R,Willie Dove,6995,0.582,General,2016
Kansas House of Representatives 038,R,Willie Dove,1431,0.513,Primary,2016
Kansas Senate 019,R,Zach Haney,12068,0.427,General,2016
Kansas Senate 019,R,Zach Haney,4910,1,Primary,2016
